name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
dmf_0,0.0054727,2.60861e-18,0.0054727,0.0054727,0.0054727,0.0054727,0.0054727,1.73908e-18,0.0054727,0.0054727,0.0054727,0.0054727,4.88439e-09
dmf_6,0,0,0,0,0,0,0.00187586,0.00202658,6.1522e-08,0.0046171,-0.000150719,0.00390243,6.1522e-08
dmf_7,0,0,0,0,0,0,0.0017523,0.00199395,8.2347e-09,0.0044807,-0.000241649,0.00374625,8.2347e-09
dmf_8,0,0,0,0,0,0,0.00165198,0.00195366,1.1022e-09,0.0043483,-0.000301677,0.00360563,1.1022e-09
nh3_1,0.000117647,1.35865e-19,0.000117647,0.000117647,0.000117647,0.000117647,2.53484e-07,7.56208e-07,9.9188e-15,5.3227e-06,-5.02723e-07,1.00969e-06,0.000112324
nh3_2,0.000588235,4.34769e-19,0.000588235,0.000588235,0.000588235,0.000588235,8.11626e-06,1.90979e-05,1.5382e-13,0.00011552,-1.09816e-05,2.72141e-05,0.000472715
nh3_3,0.00176471,8.69538e-19,0.00176471,0.00176471,0.00176471,0.00176471,3.21649e-05,6.80322e-05,6.2584e-13,0.00038381,-3.58673e-05,0.000100197,0.0013809
nh3_4,0.00294118,8.69538e-19,0.00294118,0.00294118,0.00294118,0.00294118,7.2292e-05,0.000142606,1.6183e-12,0.00076378,-7.0314e-05,0.000214898,0.0021774
nh3_5,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.000125453,0.000234447,3.3243e-12,0.0011999,-0.000108994,0.000359901,0.00232951
nh3_6,0.00411765,8.69538e-19,0.00411765,0.00411765,0.00411765,0.00411765,0.000188197,0.000336131,5.9442e-12,0.0016497,-0.000147934,0.000524327,0.00246795
nh3_7,0.00382353,1.73908e-18,0.00382353,0.00382353,0.00382353,0.00382353,0.000257456,0.000442051,9.6924e-12,0.0020856,-0.000184595,0.000699508,0.00173793
nh3_8,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.000330746,0.000548284,1.4808e-11,0.0024917,-0.000217538,0.00087903,0.00103771
